,churn
85957,0
78009,1
9232,1
67900,0
30142,1
75640,1
73899,1
27684,1
55121,1
37119,0
70728,1
62573,0
10322,0
33980,0
15028,1
65869,0
55930,0
48189,1
21147,0
10049,0
27150,0
78262,0
65615,1
13971,1
967,0
21662,1
96237,1
21743,0
34472,0
71591,0
84947,0
85644,1
28678,0
3235,0
36021,1
12263,0
45713,1
94993,1
18621,0
97672,1
80540,1
11108,1
1746,0
53123,0
55864,1
79328,0
54308,0
96428,0
49091,0
69581,1
95449,0
1068,1
3210,1
68604,1
34843,0
34935,1
14827,1
10786,0
50793,0
71257,0
42205,0
35432,1
1776,1
14742,1
14445,0
40440,0
75434,0
82429,0
19069,1
31492,0
98463,0
90121,0
46677,0
4889,1
61081,1
95491,0
85035,0
57289,1
58709,0
39464,1
12332,0
52377,0
21107,1
90688,1
64659,0
80958,1
79665,1
412,0
22499,0
17586,0
48188,1
82169,1
72276,1
82469,1
18180,1
14104,0
34834,1
86712,0
6803,0
45851,0
77040,1
4370,0
14952,1
2865,0
94213,1
11056,1
77299,0
19072,1
80145,0
99995,1
54051,0
97096,0
98806,0
29744,1
28531,1
76489,0
57521,1
90353,1
63308,1
58927,0
14042,1
18383,0
52717,0
80735,0
98653,0
48249,0
35886,0
10456,1
9132,1
470,1
16096,1
37437,0
34773,0
65169,1
49256,1
22765,0
27574,1
23427,0
39263,1
33113,0
82815,1
81825,1
82155,1
9313,0
72950,1
47495,1
70746,0
97542,0
82574,0
60146,1
51493,0
42116,0
31496,0
75772,0
804,1
34143,1
95566,0
13948,0
86380,1
17616,0
1018,1
55260,1
1615,1
5024,0
4406,1
72834,1
45126,0
4202,1
51975,1
54147,0
67288,1
79077,0
2450,1
27780,0
66157,0
51250,0
3111,0
51331,1
63127,0
61798,1
75033,1
15181,1
78076,1
90898,0
91965,0
10168,1
45279,1
20897,1
40145,0
35834,1
56171,1
4888,0
47460,0
99115,1
87729,0
55163,1
61061,1
19052,1
97555,1
2805,1
86569,1
81168,1
3252,0
93456,1
42598,1
67998,1
54252,1
4637,1
264,0
37727,0
29685,1
29804,0
57647,1
73150,1
98219,0
33195,0
18417,1
27221,1
53558,1
85071,0
10972,0
9437,0
84405,1
90611,1
42390,1
6654,1
98115,1
92295,0
54217,1
85487,0
18869,0
1362,0
23149,1
77500,0
36461,1
99422,0
26534,1
20766,0
97312,0
12144,0
96398,0
96144,1
853,1
52755,1
26070,0
67400,1
57799,1
21271,1
87124,1
88257,0
98651,0
1080,1
61809,1
67716,1
68435,0
59543,0
79820,0
88928,0
21602,1
2690,0
24947,0
77176,1
74724,1
39445,1
56931,0
91183,0
88371,0
25893,0
38199,1
42728,1
71035,0
66181,1
65991,0
46585,0
19752,1
37678,0
88277,0
26805,0
30393,1
89009,1
22071,0
23107,1
8903,0
21459,1
69402,0
65767,0
6127,1
90998,0
11658,1
66228,1
56611,0
74135,1
58885,1
40357,0
93464,0
80825,1
9702,0
5685,1
58499,0
94512,0
64500,1
31718,0
96640,0
787,1
32921,0
37426,1
90552,0
7871,1
70420,1
44478,1
34877,1
59870,0
33364,0
25167,1
39393,0
42940,0
78612,0
58037,0
35200,0
72713,0
20908,1
7726,1
87760,0
53986,0
71288,0
1424,0
15827,0
24122,0
44185,1
3618,1
96230,0
68520,1
13434,1
61220,1
31240,1
56382,1
8929,1
44752,0
32140,1
28730,1
20319,1
73838,1
14793,1
27051,0
12767,1
10879,0
7395,0
32128,0
55306,0
38172,0
86048,1
5634,0
46030,0
79681,0
39429,0
42552,1
25928,0
48199,1
25572,0
7426,1
78835,1
76668,1
84619,0
87106,1
4185,1
69078,0
12586,1
36774,0
63061,0
37726,0
96047,0
99921,1
26219,1
77564,1
70818,1
12542,1
20262,0
81593,0
39989,0
84544,0
61868,1
99954,0
11921,1
65853,1
59902,1
53268,0
95160,1
44829,1
56681,0
54334,0
89698,1
30472,0
7004,1
54730,0
12037,0
47341,1
70773,0
32911,0
63632,1
15201,0
4484,1
47219,1
3393,1
67731,0
70118,1
68735,1
66630,0
93517,1
51271,1
44379,0
97286,0
85081,0
13827,0
24875,1
92033,0
66886,1
98749,0
68835,1
21359,1
86233,1
64055,0
91296,0
27387,1
5355,0
31514,1
19920,0
2955,1
9961,1
32190,1
48790,1
19485,1
95673,0
35238,1
31828,1
8796,0
4805,1
45899,1
27126,1
12690,1
49821,0
69061,1
7251,0
44767,1
10389,0
95554,0
44639,0
87174,1
69901,0
8066,0
66239,1
14901,0
54469,1
16061,0
13313,1
76397,0
1339,1
81416,1
95903,0
56813,1
28911,0
94886,1
88823,1
21653,1
66717,1
42934,1
90010,1
52839,0
80917,1
17963,0
13626,0
69372,1
60684,1
42488,1
87181,0
5230,1
77488,0
23188,0
27352,0
410,0
32986,1
87075,0
13352,0
44135,0
11825,1
17885,1
72007,1
10005,1
43040,1
5646,1
11656,0
6448,1
45991,0
7388,1
6695,1
1121,1
57248,1
72855,0
82757,0
3592,0
24704,1
87152,1
21799,1
75002,0
67066,0
40134,0
11673,1
43816,0
8505,1
30228,1
59203,1
39761,1
79520,1
98183,0
53108,0
55685,1
16450,1
77356,0
22023,1
26486,1
58285,1
53748,0
60205,1
28786,0
79226,0
49130,1
64429,0
41819,0
83088,1
65263,1
89352,1
68003,0
48133,1
65719,0
46134,0
7579,1
9020,0
74239,0
60869,0
12323,1
59877,1
43999,1
41010,0
36552,0
95081,0
15066,0
55209,1
73570,0
95725,1
1184,0
61881,1
55380,1
2179,0
63291,1
93270,0
361,1
63819,0
20771,1
76080,0
86992,0
51554,1
88125,0
55316,0
2507,0
9347,1
39877,0
33313,1
98921,1
94517,0
71191,1
32864,0
49986,1
71158,1
28032,1
27099,0
47119,0
95290,0
99835,1
21022,1
8758,1
96647,1
49051,0
65679,0
76848,0
77390,0
33466,1
45423,0
39354,1
85088,0
2578,0
80009,0
58225,1
20956,1
68511,0
8023,0
54860,1
64964,1
96917,0
71460,1
59810,0
26637,0
63996,1
50037,1
81913,1
27732,1
22798,1
61846,0
32069,0
56869,0
56001,1
68517,1
23580,1
29843,0
65772,1
16940,1
69420,0
47841,1
13123,1
29594,0
16091,1
9509,1
8173,0
52924,0
27852,0
52846,0
60278,1
27340,0
49616,1
49354,1
5727,0
56586,0
96910,1
69353,0
13520,1
79347,0
20705,0
99366,0
54741,0
88153,1
23168,0
3029,0
41620,0
78259,1
81517,0
94869,1
36113,0
34820,1
74768,1
55477,1
71259,0
5484,0
40031,0
59024,0
37619,1
46402,1
46365,1
66475,1
99844,0
52031,1
14194,1
28494,0
12331,0
56063,0
3390,0
68702,1
40753,1
38022,0
86767,0
14025,0
30532,0
75303,0
89271,0
56335,1
3236,0
58597,1
93599,0
12797,1
36437,1
29401,1
63962,0
25363,0
64141,1
31970,1
9218,1
72515,0
12935,0
89343,1
53272,1
4126,0
24531,1
95647,0
68807,0
56310,1
49172,0
12401,1
35144,0
53380,1
95185,0
2393,0
75926,1
79288,0
39434,0
91925,0
87681,1
57622,0
59154,0
61245,0
62248,1
41235,0
73689,1
93279,0
66312,0
60925,0
57189,0
76228,1
69878,0
90122,1
90397,0
4546,1
73111,1
84950,0
71692,1
59703,0
80906,0
98048,1
56649,0
5503,0
53973,0
37637,0
69290,1
22716,0
94285,1
41062,0
20425,1
93916,1
47797,1
67510,1
90233,1
48869,1
49724,0
38091,1
53752,1
86679,1
49985,1
55656,1
70988,1
60974,1
53117,0
90115,0
23878,0
98730,1
48184,0
59744,1
26485,1
4347,0
23062,0
38174,0
58138,1
59891,1
72203,1
47380,0
36691,1
2923,0
1945,1
8894,0
28536,0
34272,0
9264,1
7097,0
37042,0
89817,0
9730,1
80311,1
26423,0
63717,1
79868,0
28954,0
74537,1
92030,1
50384,0
50408,1
66693,1
42375,0
47331,1
50665,0
82836,0
68638,1
71760,0
372,1
16380,1
17720,0
26885,1
60780,1
56281,1
62619,0
75174,1
41554,0
82301,1
64250,0
70405,0
27921,0
9559,1
49951,0
68757,1
78119,0
16501,1
29556,1
75628,1
17884,1
87122,0
97301,0
25978,1
91843,1
89157,0
86916,0
91423,1
2747,1
23014,0
48694,0
76346,0
2640,0
8067,1
92357,1
3389,1
91468,0
49193,0
53719,1
58127,1
24063,0
98057,1
99072,0
75039,1
43885,0
70514,0
36803,1
46325,1
79565,1
51388,0
64070,1
66727,1
88795,1
51046,0
8999,0
44594,1
47931,1
45003,0
45765,0
85361,0
42070,1
13286,0
3817,1
24031,0
30408,0
69663,1
68475,0
86726,0
20823,0
31895,1
50528,0
44754,1
19915,1
62390,1
251,1
99461,1
66709,0
37479,0
75888,0
5010,1
55196,0
235,1
29515,0
50375,1
28219,1
57684,1
35740,0
93417,0
99762,1
53035,1
10806,0
54070,1
19510,0
7423,0
87475,1
85500,1
10060,0
73008,1
66179,0
5307,1
32086,0
86006,1
70877,0
92440,0
77321,0
72207,1
98788,1
95336,0
40043,0
82557,1
64200,0
54444,0
63204,0
42800,0
99947,1
36119,1
71666,0
29867,0
81157,1
9467,0
6466,0
45067,1
8558,1
58737,1
80091,0
71534,1
79109,0
10340,1
47387,1
32650,1
75809,1
41092,1
40461,0
48505,0
82596,0
35548,0
23360,1
39667,1
25446,0
69985,0
98487,1
37999,1
50432,0
64915,1
20707,1
72756,0
4445,0
38820,0
92244,0
90066,0
33188,0
34054,1
95670,1
44978,0
81845,0
20336,1
25106,0
62953,0
73101,1
32672,1
64430,0
16166,1
25773,1
45859,0
30594,0
86141,1
61781,0
41883,1
76828,0
12941,1
32600,0
1711,0
24279,0
89222,1
96862,0
68415,1
13991,0
89068,1
62781,0
76880,1
12424,1
65078,1
30807,1
39428,1
69702,1
90930,1
42020,0
17999,1
87957,0
89672,0
74929,1
92717,0
88473,1
40827,0
13354,1
2983,1
73718,1
11159,1
98692,1
59395,1
88790,0
82329,1
33411,0
26766,1
42120,0
63269,0
99770,1
96573,1
30099,0
75398,0
87288,1
45021,1
39818,1
80514,1
47776,0
89416,0
47293,1
58665,1
99298,1
61751,0
40554,1
36608,1
48097,0
53992,1
99943,0
13039,1
74659,1
3821,1
60784,0
25561,0
17836,0
56416,0
43125,0
34641,1
33580,0
23947,1
10816,1
8142,0
46201,1
69391,0
42854,1
25497,1
88478,1
96207,0
65009,0
90883,0
47715,0
20256,1
35155,1
51171,0
92676,0
55743,0
65944,1
32807,1
34168,1
96582,1
95540,0
29998,0
70706,1
70846,0
4268,0
29112,1
37723,0
18232,1
95679,0
28793,1
83951,0
4151,1
80998,1
84659,0
16644,1
62292,0
14960,1
67763,0
40918,1
12822,1
15045,0
14492,0
22522,1
50926,0
99355,0
39157,0
3600,1
41724,0
79625,0
96796,1
65564,1
47827,0
18373,1
67741,0
56816,1
10329,0
17979,1
80014,0
15589,1
13642,1
43064,0
55401,1
76690,1
49708,0
14968,1
60690,1
70973,1
42637,1
29673,1
58349,0
90196,1
69282,1
15958,1
36326,0
49113,0
91601,1
31898,1
84096,0
34913,0
10127,1
87742,0
13984,0
63978,1
49223,0
40877,1
99542,1
99915,0
82791,0
82267,0
1064,0
31534,1
53455,0
89853,1
69768,0
98903,0
60841,1
6217,1
8412,1
32993,1
89256,1
61830,1
49215,1
70919,0
52370,0
16810,1
22686,1
91427,0
9277,0
27874,0
49891,1
23523,0
22188,0
77498,1
42924,1
31608,0
24620,0
85953,0
78343,0
6100,1
44481,0
41997,0
44659,0
5927,0
70544,0
11346,1
22607,0
2811,0
17012,1
26527,1
52218,1
48792,0
99094,0
32291,0
68593,1
46771,1
34336,1
84594,0
37737,0
52293,0
81155,0
76853,1
33336,1
3321,1
55496,1
33905,1
32625,1
33716,0
54848,1
96717,0
21249,0
92683,0
23206,1
41982,0
92062,0
78360,0
28252,1
3633,1
4488,1
1108,1
25623,1
49964,0
4123,1
97925,1
9884,0
42542,0
84565,0
72153,0
21290,0
72801,0
22033,0
25236,1
49305,0
91037,0
6511,0
56373,1
63886,0
67078,0
15626,0
24133,0
20099,0
31189,0
19880,1
85008,1
97101,0
36306,1
40115,1
421,0
43118,1
76492,1
38574,1
63517,0
47576,1
24901,1
13704,0
96495,0
14909,0
74535,1
87679,1
82411,1
98524,1
50050,0
26418,0
75573,1
96316,1
19633,1
14269,0
65926,1
85305,0
64956,1
35100,1
48178,1
72777,0
12127,1
56465,0
29412,1
88346,1
3703,1
91352,1
27824,1
71541,1
42694,1
64509,1
70374,1
86037,0
46239,0
15598,0
20445,1
20413,0
97917,1
5408,1
16411,0
89305,0
82905,1
13111,0
93443,1
77240,0
33990,1
13858,0
27926,0
81864,0
88353,1
48506,0
55221,1
83626,0
56642,1
21077,0
20630,1
98034,0
83281,1
82835,0
77811,1
77238,0
2230,1
99578,0
23773,0
77730,0
85810,1
76541,0
3848,0
94554,1
64889,1
67490,0
30583,0
67622,1
14754,1
39955,0
80389,1
33881,1
98579,1
60305,0
46575,0
61363,0
5803,1
25508,1
15981,0
65244,0
88886,0
33214,1
44206,1
95310,0
43233,0
39938,1
29430,0
69475,1
77759,1
62511,1
87163,0
5259,1
80565,1
7725,1
15474,1
6216,0
5286,1
54166,0
72220,1
38869,0
86954,0
62358,0
36420,1
51458,0
42644,1
75996,0
27069,1
63371,0
81883,1
50010,0
64823,0
68800,1
76922,1
80430,0
31010,1
18815,1
35187,0
99361,1
4523,0
44944,1
13444,1
52331,1
35174,1
34545,0
32735,1
11871,0
90120,0
72669,1
8149,0
9532,0
8405,1
32644,1
28449,1
53376,0
86471,1
71548,1
8260,1
78156,1
22751,1
74750,0
5151,0
31587,0
38805,1
37053,0
44169,1
41794,1
56514,0
16556,1
57046,1
92826,0
25836,0
16340,1
83588,1
44705,0
3989,0
676,1
63193,1
7291,1
92453,0
16280,0
29089,1
91005,0
54525,1
72057,1
78140,0
144,1
62650,1
3276,0
77537,0
25992,0
56294,1
40273,0
73333,0
42990,0
14289,1
27551,0
96950,0
89580,1
53032,1
27172,1
91304,1
87025,1
11515,0
14123,0
29564,1
88558,0
97966,0
2975,0
68491,0
85849,1
55671,1
89654,0
12156,1
74046,0
9744,1
63527,0
84771,0
59041,1
97983,1
13839,1
23699,1
69404,0
97946,1
3942,1
23629,0
85865,1
16531,1
60089,0
28453,1
52538,1
38269,1
39394,1
47754,1
13236,0
75957,1
94074,0
62922,1
70776,1
83994,1
1797,0
2908,1
48148,1
66114,1
78873,1
34072,1
82157,1
65938,1
15046,0
47483,1
5603,0
5688,1
85384,0
33070,0
29631,1
86099,0
90071,0
39736,1
73486,0
22462,0
60139,0
87454,0
5336,1
20791,1
44542,1
11571,0
28742,0
42681,0
5530,1
84146,1
24946,0
80549,1
79599,1
22952,0
82993,0
66975,1
18135,0
39985,0
3561,1
22668,1
3042,0
20723,1
49639,1
62660,1
31913,0
57609,0
74341,0
10245,1
32100,0
53417,1
2793,0
38847,0
21138,1
98786,1
86117,0
4776,0
96604,0
65001,0
55931,1
62969,0
79043,0
68480,1
46998,0
85808,1
77243,0
64872,0
21925,0
49890,1
58083,1
29629,0
20095,1
77092,1
91098,1
35170,0
23540,0
96684,0
2625,0
39774,1
55682,1
92576,1
98038,0
70525,1
93511,0
46978,1
4544,1
40247,1
67058,1
10091,0
83666,0
33583,1
89671,1
12727,0
73299,0
19813,1
68523,1
13473,1
93532,0
85424,1
38450,1
9498,0
20615,0
41121,1
59626,0
70087,1
21166,0
80433,1
23315,1
30761,0
5949,1
68382,1
36176,0
66423,1
34120,1
85756,0
38691,1
26149,0
73220,1
91678,1
89644,1
54254,1
85157,0
8668,0
93615,1
33872,1
16470,0
53452,0
85357,1
54679,1
12145,1
80943,1
39044,1
66215,1
16189,1
71065,0
48981,1
86225,1
54590,1
74402,0
37556,1
47611,1
3894,0
88186,0
5563,1
67756,1
96854,0
48214,0
26334,0
75277,1
11766,0
55284,0
90124,1
7380,0
51970,0
76435,1
55866,1
50993,0
57768,1
49262,0
60929,0
89832,0
77979,1
55574,1
27343,0
71797,1
93790,0
63353,1
37138,0
2615,1
36603,1
80513,1
16197,0
7151,0
87141,0
40459,0
44199,1
52369,0
65378,0
3108,1
81207,0
56156,0
62904,0
31800,0
50028,1
2022,0
3146,0
43748,1
77229,1
38375,0
38138,0
35874,1
27209,0
50472,0
95070,0
23307,0
76322,0
49765,0
7543,1
86884,0
98083,1
19839,0
86719,0
34496,0
45592,1
11496,0
48324,0
57714,1
76108,0
67994,0
44144,1
93462,1
51719,0
55993,1
65192,1
55693,1
45010,1
63460,0
56066,1
7268,0
70223,1
34737,1
38901,1
82401,1
10421,0
64660,0
18225,1
64086,1
44706,1
71808,1
75589,0
86217,1
77825,1
93278,1
23044,1
51141,1
73661,1
83687,0
31585,1
79967,1
46709,0
7979,1
92609,1
82447,1
71946,1
28750,0
79227,1
58115,0
97026,0
49028,0
51839,1
22017,1
44240,1
3312,1
32453,1
40241,1
75284,1
61203,0
31639,1
87749,1
13857,0
4517,0
2121,0
35734,0
29007,1
74862,0
36137,0
96260,0
21450,0
48604,0
18933,1
87074,1
21961,0
45231,0
8071,1
45090,1
62533,1
22897,0
75998,0
36528,1
47490,0
65712,0
24206,1
45877,0
15167,0
35515,1
27778,1
79222,0
95450,0
25231,0
3995,0
37131,0
42877,0
9124,1
8228,1
6222,0
80068,1
68349,1
81696,1
37593,1
26978,0
13557,0
63146,0
57706,1
63649,0
59827,0
4859,0
14541,1
70332,1
76033,1
24092,1
20124,1
81591,1
95269,0
10025,0
8937,0
79592,0
50536,0
40597,0
16202,0
71804,0
60846,1
66247,1
11074,0
71728,0
25322,1
56,1
68386,0
12422,0
52789,1
47207,0
46314,1
39685,0
10288,0
2490,0
88323,0
45577,0
56404,1
50205,0
80915,1
39495,0
29805,1
83568,1
4850,0
35363,1
792,1
46649,1
92560,0
35596,0
4036,1
42948,0
66810,1
37701,0
96255,1
13173,1
48972,1
73082,0
77778,1
7817,1
81705,1
74975,0
45491,0
24950,0
37687,0
99227,0
53175,1
20729,0
73827,1
81511,1
31462,0
73131,1
7704,0
98480,1
68346,1
93799,0
64161,1
96000,1
31712,0
17436,1
95885,0
34375,1
67681,1
95909,1
76954,0
90959,0
8943,0
26493,0
21634,1
71394,0
25765,1
30801,1
42836,1
97439,0
22186,1
71429,1
42716,0
15420,0
10501,1
73746,1
51092,1
75449,0
3885,0
48613,0
85718,0
54560,1
86832,1
12646,0
35891,0
56284,1
66537,1
78801,0
11686,0
82879,0
60845,1
31896,0
60108,1
39665,1
90681,1
88417,1
76293,0
39599,0
79922,0
55170,1
59307,1
87964,1
38209,1
39677,1
84293,0
92187,1
44845,1
76990,1
4400,1
55258,0
49546,1
29152,0
46799,0
66516,1
36659,0
26309,1
21614,1
17281,1
65674,1
29039,1
51037,0
93018,0
18340,0
84478,1
24569,0
96362,1
55114,1
19312,1
15560,0
88005,0
14333,1
39893,0
69852,1
65402,0
48990,1
15199,0
76013,1
6390,0
89721,1
54681,1
48296,1
30822,0
96386,0
83802,1
87429,0
41692,0
79919,0
72823,0
34005,0
9465,1
42554,1
62279,1
69592,1
8013,0
94640,1
33267,0
95044,0
47517,0
27092,0
10478,0
11874,0
44053,0
50523,0
54323,1
93351,1
15172,0
38618,0
40799,1
61613,1
92951,1
18879,0
88026,0
83085,0
48075,0
56466,1
38903,0
43342,1
85522,0
92086,0
98473,0
99606,0
66180,1
61050,1
88895,0
18501,1
32243,0
81371,0
57981,0
68670,0
57912,1
31904,0
19356,0
72336,0
63727,0
23888,1
1716,0
87128,1
87233,0
50494,1
91163,1
74905,1
97056,0
31245,1
9329,0
13876,1
86842,0
46129,1
73999,1
26144,1
57590,0
94332,0
88541,1
11510,0
63442,0
58684,0
460,0
89123,0
48437,0
98743,1
30377,0
21617,1
17600,0
95220,0
22056,1
99045,0
13528,1
3548,0
21530,1
68585,0
22758,1
98227,1
71366,0
90369,1
58754,0
34929,1
7655,1
77745,1
57698,1
2172,1
75318,0
33919,1
76663,1
97126,0
33819,0
70029,1
5536,0
11879,0
29055,0
25381,0
21779,1
289,1
95807,0
83767,0
96549,0
14228,1
88386,1
1865,1
79428,0
72085,1
72781,1
46147,1
20456,0
42952,1
12278,0
4125,1
28245,1
96773,0
95793,0
75338,0
5900,1
71767,0
25060,0
50840,1
79783,1
73073,1
54059,1
60212,0
1107,0
62994,1
88134,0
74560,0
69119,0
20059,0
68644,1
2921,1
68599,0
50294,0
96886,1
14885,0
14585,0
59438,1
58937,1
27610,0
3444,0
39193,0
52563,1
48602,1
71969,1
64807,0
38276,1
98071,1
1313,1
9904,1
48236,1
52558,1
61886,0
24635,0
31555,1
63044,1
56391,1
20910,0
77620,1
21045,1
45544,1
45420,0
40626,0
90813,0
33602,0
4115,0
49391,0
70597,0
44774,1
82533,0
52084,1
37428,0
11901,1
72833,1
76834,1
73934,1
77985,0
14092,1
69396,1
97942,1
31992,1
48751,1
3004,0
33450,1
4898,0
50237,0
39546,1
17127,1
42220,1
95171,1
30034,0
55628,0
24336,0
87559,0
18217,0
78122,1
7763,1
12447,1
36843,0
94934,0
26686,0
11146,1
15575,1
63396,0
46388,1
34949,0
48153,1
12660,1
86090,0
65007,1
94138,0
89057,0
95820,0
74071,1
8002,0
44323,1
49773,0
41973,1
67507,1
93235,1
29197,0
80804,0
82130,1
52900,0
17117,1
4453,0
43760,1
84189,0
86077,1
71791,1
26993,1
28203,1
34987,1
62098,1
5872,0
60077,0
52490,1
99642,1
95621,1
10513,1
48059,1
89099,1
18645,1
56488,0
69617,1
70212,1
99013,1
35743,1
23547,0
44631,1
47639,0
37466,0
61154,0
96922,1
16648,1
49902,1
34989,1
23616,0
72658,1
61953,0
35753,0
24634,1
88069,1
34222,0
54859,1
12573,1
37634,1
15062,1
93187,1
95835,1
80421,1
99443,0
53751,0
7485,1
96849,0
17412,1
90874,0
54978,1
13012,0
96887,1
89315,0
92223,0
39591,1
62092,0
87123,1
91082,0
71317,0
29951,1
38460,0
63137,1
1215,0
15070,1
90455,0
25453,0
17784,0
28319,0
74396,1
10208,0
44866,0
90311,1
66198,0
766,1
20840,0
92462,0
65989,1
44431,0
23243,1
43596,1
94069,0
96008,1
15008,0
16,0
96406,0
34909,1
32565,1
95355,0
75571,1
65667,1
43746,1
64187,1
65686,0
1767,1
98165,0
23817,0
13902,1
30267,0
31486,0
46338,1
46613,0
35889,1
91954,0
21142,1
30184,1
8348,0
32537,1
74778,0
52894,0
31318,0
50212,0
75479,0
8801,0
96356,1
8632,0
55493,1
19414,1
84680,0
97314,0
86049,0
35217,0
30901,1
37318,0
31805,1
65329,1
67914,1
15076,0
6820,0
14900,1
35521,0
65598,0
78460,0
26298,0
42499,0
51267,1
27948,1
92040,0
96757,0
93521,1
25159,0
26841,0
40237,0
2555,0
84164,1
58048,1
3022,1
165,1
77342,1
12918,1
69662,0
82615,1
41059,1
60182,0
58778,1
2437,1
68982,0
39413,0
81739,0
85453,1
26135,0
88948,0
74232,0
26204,0
72201,0
28440,0
61555,0
37962,0
72230,0
30700,0
14586,0
77155,0
51703,1
97996,0
25418,1
48733,0
88050,0
88306,1
79456,0
58572,0
74895,0
40511,1
74132,0
81360,1
84370,0
66669,1
68602,0
36743,1
88073,0
45852,1
33323,1
33684,0
26439,1
94118,0
29425,0
71544,1
89924,1
87511,0
61033,1
96034,0
20055,1
12713,1
25071,0
74688,0
76421,0
190,1
7796,1
89181,0
77012,1
87773,0
93441,1
25882,1
50964,1
46736,1
71777,1
24137,1
98023,0
16024,1
92380,0
51993,1
87756,0
72130,0
9010,0
20568,0
30092,0
10994,1
37838,0
76243,0
73397,1
16843,0
77476,1
20924,0
23844,1
30389,1
43309,1
55790,1
18422,0
74564,1
58073,1
70861,0
17478,1
15101,1
97192,0
62545,1
17138,1
5772,1
33180,1
2846,1
79807,1
81049,0
57665,0
74076,0
10362,0
84395,1
46636,1
91676,0
28931,0
81887,1
31271,1
81277,1
71027,1
83156,1
69338,1
8082,0
2354,0
34081,1
28138,1
61803,1
42686,1
65207,0
26263,1
51142,1
50076,0
25987,1
5370,0
16801,1
26839,1
73036,1
43241,0
62601,0
76306,0
57860,1
84933,0
15444,0
63335,0
71239,1
20760,1
88444,1
53364,1
29726,0
68362,1
52673,1
40583,0
96501,0
86510,0
365,1
76209,0
28519,1
3875,0
77818,1
9350,1
61346,0
81065,0
91493,1
67033,1
28145,0
9599,1
78893,1
10552,0
80534,1
78402,0
3006,1
75853,1
3883,0
46518,1
41138,1
76775,0
10153,0
3847,0
37331,1
21071,0
20147,0
31516,0
76757,1
18075,1
19795,0
66832,1
26306,1
14397,0
62148,0
79978,0
86981,0
14779,0
64856,0
64808,0
70373,0
60499,1
98670,1
74579,1
85812,1
57766,1
43481,1
11981,1
4299,0
80033,1
36262,1
6187,0
35972,0
42114,0
87354,1
60695,0
70954,0
13364,0
52911,0
92437,1
3155,0
58494,0
63574,0
24917,0
10011,0
20463,0
97327,1
50566,0
22040,0
78734,1
3530,1
41871,0
86891,0
8316,1
91051,1
48778,1
28791,1
47870,0
1733,0
26608,0
46193,0
33628,1
22495,1
90165,1
33644,1
52759,0
2564,1
33501,0
42989,1
20468,0
64829,0
98656,0
76588,1
6892,0
44316,0
59767,1
80949,1
45044,0
55350,1
73230,1
